LISTADO GENERAL DE PRECIOS,C/U,GANA,V/U
BATIDORAS,$,$,$
CINTA  PVC  MOMIA  NO ADHESIVA  15 MTS  R-CMSP-1 AR COMPONENTS,"1,50","1,05","2,55"
"CINTA DE ALUMINIO 4,8 CM X  50 MTS AFT250 R  EVERWELL","4,90","3,43","8,33"
"CINTA DE ALUMINIO 4,8 CM 27 MTS AFT   EVERWELL","2,60","1,82","4,42"
"CINTA DE PLOMO GRIS ANCHO 4,8MM X 50 MTS CDT250 EVERWELL","3,40","2,38","5,78"
"CINTA DE PLOMO GRIS ANCHO 4,8MM X 10 MTS","2,40","1,68","4,08"
"CINTA DE PLOMO ANCHO 4,8MM X 55 MTS     RCD-1  AR COMPONENTS","3,10","2,17","5,27"
CINTA AISLANTE DE GOMA ESPUMA (FOAM),"4,63","3,24","7,87"
CINTA AISLANTE DE CORCHO PRETISTE,"7,40","5,18","12,58"
CODOS,,,
"CODOS DE COBRE  1/8""","0,40","0,28","0,68"
"CODOS DE COBRE 1/4""","0,40","0,28","0,68"
"CODOS DE COBRE  5/16""","0,40","0,28","0,68"
"CODOS DE COBRE 3/8""","0,50","0,35","0,85"
"CODOS DE COBRE 1/2""","0,50","0,35","0,85"
"CODOS DE COBRE 5/8""","1,00","0,70","1,70"
"CODOS DE COBRE 3/4""  ","1,00","0,70","1,70"
"CODOS DE COBRE 7/8""","1,00","0,70","1,70"
"CODOS DE COBRE  1""","1,40","0,98","2,38"
CODOS DE COBRE  1 1/8  90G,"1,40","0,98","2,38"
,,"0,5",V/U
COMPRESORES A/A   BAUTZEN,, GANA $,$
COMPRESOR ROTATIVO BAUTZEN 12 KBTU R22 220V  BCLBH170-DJ,"78,50","39,25","117,75"
COMPRESOR ROTATIVO BAUTZEN 18 KBTU R22 220V ,"88,50","44,25","132,75"
COMPRESORES A/A   BRISTOL,,,
COMPRESOR ROTATIVO BRISTOL 60 KBTU R22 220V  H23A623ABCA,"390,00","195,00","585,00"
COMPRESORES A/A   HIGHTLY,,,
COMPRESOR ROTATIVO HIGHTYL 12 KBTU R22 220V  SG173SN-H6CU,"78,50","39,25","117,75"
COMPRESOR ROTATIVO HIGHTYL 18 KBTU R22 220V HS264DS-C7HQ1H,"88,50","44,25","132,75"
COMPRESOR ROTATIVO  HIGHLY 22.557 (24 BKTU)  R22 220V  SHY73MC4-U,"98,50","49,25","147,75"
COMPRESOR ROTATIVO HIGHLY 24 BKTU R22 220V  SH356DG-C8LU,"98,50","49,25","147,75"
COMPRESORES A/A  COPELAND,,,
COMPRESOR  COPELAND SCROLL 36K BTU R22 220V ZR36KC-PFV-522,"290,00","145,00","435,00"
COMPRESOR  COPELAND SCROLL 60K BTU R22 330V ZR61KCE-TF5-930,"413,00","206,50","619,50"
COMPRESORES A/A  LG,,,
